,question,answer
2642,seseorang yang terpeleset bisa melukai punggungnya.,mereka bahkan bisa membuka kepala mereka.
2643,mereka bahkan bisa membuka kepala mereka.,kita harus berdiri di sini sampai petugas kebersihan tiba di sini.
2644,kita harus berdiri di sini sampai petugas kebersihan tiba di sini.,kita bisa pergi jika kita menaruh kerucut jeruk di sini.
2645,kita bisa pergi jika kita menaruh kerucut jeruk di sini.,"ya, tapi saya tidak tahu di mana letak kerucut oranye itu."
2646,"ya, tapi saya tidak tahu di mana letak kerucut oranye itu.",itu tidak masalah. ini dia datang sekarang dengan kain pel.
2647,apa yang terjadi jika alarm kebakaran berbunyi?,kami menyuruh siswa kami meninggalkan kelas.
2648,kami menyuruh siswa kami meninggalkan kelas.,bolehkah mereka mengambil barang-barangnya?
2649,bolehkah mereka mengambil barang-barangnya?,"ya, jika mereka melakukannya dengan cepat."
2650,"ya, jika mereka melakukannya dengan cepat.",kemana perginya para siswa?
2651,kemana perginya para siswa?,mereka pergi ke tempat parkir utara.
2652,mereka pergi ke tempat parkir utara.,apa yang dilakukan para guru?
2653,apa yang dilakukan para guru?,kami membawa daftar nama kami ke tempat parkir dan mengambil giliran.
2654,kami membawa daftar nama kami ke tempat parkir dan mengambil giliran.,Mengapa Anda melakukan itu?
2655,Mengapa Anda melakukan itu?,kami ingin memastikan semua siswa keluar dari gedung.
2656,kami ingin memastikan semua siswa keluar dari gedung.,"jika mereka semua berada di luar, lalu apa?"
2657,"jika mereka semua berada di luar, lalu apa?",lalu kami menunggu di luar sampai petugas pemadam kebakaran menyuruh kami masuk kembali.
2658,aku harus kembali ke atas.,Mengapa? kita sudah terlambat.
2659,Mengapa? kita sudah terlambat.,aku harus memeriksa kompornya.
2660,aku harus memeriksa kompornya.,apa masalahnya?
2661,apa masalahnya?,mungkin aku membiarkan kompornya menyala.
2662,mungkin aku membiarkan kompornya menyala.,"tidak, kamu tidak melakukannya. aku memeriksa kompor sebelum kami pergi."
2663,"tidak, kamu tidak melakukannya. aku memeriksa kompor sebelum kami pergi.",apa kamu yakin?
2664,apa kamu yakin?,tentu saja aku yakin.
2665,tentu saja aku yakin.,"baiklah, aku harus kembali ke atas."
2666,"baiklah, aku harus kembali ke atas.",semakin lambat setiap menitnya.
2667,semakin lambat setiap menitnya.,sepertinya aku membiarkan airnya mengalir.
2668,sepertinya aku membiarkan airnya mengalir.,"tidak, kamu tidak melakukannya. Ayo pergi! satu-satunya yang berjalan hanyalah jam!"
2669,kota ini membeli senjata.,apa yang mereka bayar?
2670,apa yang mereka bayar?,"hingga $200 untuk setiap senjata, tanpa pertanyaan."
2671,"hingga $200 untuk setiap senjata, tanpa pertanyaan.",mengapa mereka melakukan ini?
2672,mengapa mereka melakukan ini?,mereka ingin mengeluarkan senjata dari jalanan.
2673,mereka ingin mengeluarkan senjata dari jalanan.,siapa yang akan menyerahkan senjata seharga $200?
2674,siapa yang akan menyerahkan senjata seharga $200?,itu tidak bagus?
2675,itu tidak bagus?,senjata yang bagus berharga $400 atau lebih.
2676,senjata yang bagus berharga $400 atau lebih.,"baiklah, jika Anda membawa tanda terima, mungkin mereka akan memberi Anda $400."
2677,"baiklah, jika Anda membawa tanda terima, mungkin mereka akan memberi Anda $400.",aku akan menyimpan kuitansi dan senjataku.
2678,aku akan menyimpan kuitansi dan senjataku.,aku tidak tahu kamu punya pistol.
2679,aku tidak tahu kamu punya pistol.,setiap orang di Amerika harus memiliki senjata.
2680,kamu menguap.,saya yakin.
2681,saya yakin.,kamu harus pergi tidur.
2682,kamu harus pergi tidur.,saya akan melakukannya segera setelah saya menyelesaikan artikel ini.
2683,saya akan melakukannya segera setelah saya menyelesaikan artikel ini.,apa yang kau baca?
2684,apa yang kau baca?,ini tentang kejahatan di los angeles.
2685,ini tentang kejahatan di los angeles.,apa yang dikatakan?
2686,apa yang dikatakan?,walikota mengatakan tingkat kejahatan menurun.
2687,walikota mengatakan tingkat kejahatan menurun.,lalu mengapa semua orang mengunci pintunya?
2688,lalu mengapa semua orang mengunci pintunya?,saya kira mereka belum membaca artikel ini.
2689,saya kira mereka belum membaca artikel ini.,tidak ada yang percaya bahwa tingkat kejahatan sedang menurun.
2690,tidak ada yang percaya bahwa tingkat kejahatan sedang menurun.,mungkin walikota hanya membicarakan lingkungannya sendiri.
2691,orang yang tinggal di california itu gila.,mengapa demikian?
2692,mengapa demikian?,karena semua gempa bumi dan kebakaran.
2693,karena semua gempa bumi dan kebakaran.,namun gempa bumi besar hanya terjadi sesekali.
2694,namun gempa bumi besar hanya terjadi sesekali.,sesekali terlalu banyak.
2695,sesekali terlalu banyak.,tapi kamu benar. ada banyak kebakaran.
2696,tapi kamu benar. ada banyak kebakaran.,kebakaran baru-baru ini menghancurkan 85 rumah.
2697,kebakaran baru-baru ini menghancurkan 85 rumah.,"tetap saja, ini lebih aman daripada florida."
2698,"tetap saja, ini lebih aman daripada florida.",Florida tidak mengalami gempa bumi atau kebakaran.
2699,Florida tidak mengalami gempa bumi atau kebakaran.,"tidak, florida hanya mengalami badai setiap tahun dari bulan Juni hingga Oktober."
2700,"tidak, florida hanya mengalami badai setiap tahun dari bulan Juni hingga Oktober.",namun sebagian besar badai tersebut tidak berbahaya.
2701,namun sebagian besar badai tersebut tidak berbahaya.,Permisi. badai andrew menghancurkan 30.000 rumah!
2702,aku pergi ke Hawaii untuk berlibur.,Apakah kamu menyukainya?
2703,Apakah kamu menyukainya?,saya menyukainya. Saya ingin tinggal di sana.
2704,saya menyukainya. Saya ingin tinggal di sana.,apa yang kamu suka?
2705,apa yang kamu suka?,"pulaunya sangat hijau, dan airnya sangat biru."
2706,"pulaunya sangat hijau, dan airnya sangat biru.",Apakah kamu pergi berenang?
2707,Apakah kamu pergi berenang?,saya pergi ke pantai setiap hari.
2708,saya pergi ke pantai setiap hari.,bagaimana cuacanya?
2709,bagaimana cuacanya?,cuacanya panas dan cerah setiap hari.
2710,cuacanya panas dan cerah setiap hari.,apa yang kamu lakukan di malam hari?
2711,apa yang kamu lakukan di malam hari?,pada malam hari aku keluar untuk makan. Makanan nya enak.
2712,pada malam hari aku keluar untuk makan. Makanan nya enak.,orang yang tinggal di hawaii beruntung.
2713,saya suka hotel ini.,apa yang Anda suka tentang itu?
2714,apa yang Anda suka tentang itu?,kami mendapat sarapan gratis.
2715,kami mendapat sarapan gratis.,kopi dan roti gulung?
2716,kopi dan roti gulung?,"tidak, sarapan sungguhan."
2717,"tidak, sarapan sungguhan.",Bacon dan telur?
2718,Bacon dan telur?,"dengan roti panggang, ham, sosis, buah segar, dan jus."
2719,"dengan roti panggang, ham, sosis, buah segar, dan jus.",Wow! menyenangkan. mari kita menginap selama dua malam.
2720,Wow! menyenangkan. mari kita menginap selama dua malam.,dan kamarnya juga bersih.
2721,dan kamarnya juga bersih.,apakah mereka mengizinkan hewan peliharaan?
2722,apakah mereka mengizinkan hewan peliharaan?,"tidak boleh membawa hewan peliharaan, dilarang merokok."
2723,"tidak boleh membawa hewan peliharaan, dilarang merokok.",aku suka itu. ayo menginap tiga malam.
2724,aku tidak akan tidur di sini malam ini.,apa masalahnya? ini kamar yang bagus.
2725,apa masalahnya? ini kamar yang bagus.,"mungkin kamarnya bagus, tapi tidak dengan tempat tidurnya."
2726,"mungkin kamarnya bagus, tapi tidak dengan tempat tidurnya.",ada apa dengan tempat tidurnya?
2727,ada apa dengan tempat tidurnya?,lihat lembar ini.
2728,lihat lembar ini.,Ya?
2729,Ya?,lihat noda itu?
2730,lihat noda itu?,tentu saja.
2731,tentu saja.,aku tidak tidur di seprai itu.
2732,aku tidak tidur di seprai itu.,"baiklah, telepon saja meja depan. mereka akan memberi kita lembaran baru."
2733,"baiklah, telepon saja meja depan. mereka akan memberi kita lembaran baru.",aku ingin seprai tanpa noda.
2734,aku ingin seprai tanpa noda.,"mulai sekarang, ayo bawa sprei sendiri."
2735,jam berapa pesawatmu berangkat?,berangkat pukul 12:15.
2736,berangkat pukul 12:15.,kapan kamu harus berada di bandara?
2737,kapan kamu harus berada di bandara?,aku harus tiba di sana dua jam lebih awal.
2738,aku harus tiba di sana dua jam lebih awal.,jadi kita harus sudah sampai di bandara jam 10.15.
2739,jadi kita harus sudah sampai di bandara jam 10.15.,itu artinya kita harus berangkat dari rumah jam 09.15.
2740,itu artinya kita harus berangkat dari rumah jam 09.15.,"nah, satu jam untuk sampai ke sana, jika tidak ada masalah lalu lintas."
2741,"nah, satu jam untuk sampai ke sana, jika tidak ada masalah lalu lintas.",jadi mungkin sebaiknya kita berangkat jam 8:15?
2742,jadi mungkin sebaiknya kita berangkat jam 8:15?,"ya, lebih baik sampai di sana terlalu dini daripada terlambat."
2743,"ya, lebih baik sampai di sana terlalu dini daripada terlambat.",saya setuju.
2744,saya setuju.,Anda tidak pernah tahu apa yang mungkin terjadi di jalan raya ini.
2745,Anda tidak pernah tahu apa yang mungkin terjadi di jalan raya ini.,setidaknya ada satu kecelakaan besar setiap hari.
2746,aku perlu terbang ke new york.,kapan kamu pergi?
2747,kapan kamu pergi?,selama liburan Natal.
2748,selama liburan Natal.,sebaiknya kamu membeli tiketmu sekarang.
2749,sebaiknya kamu membeli tiketmu sekarang.,kamu pasti bercanda.
2750,kamu pasti bercanda.,"tidak, bukan aku. ini bulan Maret. waktu hampir habis. kursi sudah terjual habis saat ini."
2751,"tidak, bukan aku. ini bulan Maret. waktu hampir habis. kursi sudah terjual habis saat ini.",kupikir aku akan menunggu sampai bulan Oktober.
2752,kupikir aku akan menunggu sampai bulan Oktober.,Aku yakin ini pertama kalinya kamu terbang saat Natal.
2753,Aku yakin ini pertama kalinya kamu terbang saat Natal.,kamu benar.
2754,kamu benar.,"baiklah, dengarkan aku. kamu perlu membeli tiket sekarang."
2755,"baiklah, dengarkan aku. kamu perlu membeli tiket sekarang.",tapi mungkin harga akan lebih murah di bulan oktober.
2756,tapi mungkin harga akan lebih murah di bulan oktober.,harga yang lebih murah tidak akan ada gunanya jika tidak ada kursi.
2757,aku benci terbang.,Saya juga.
2758,Saya juga.,"dahulu kala, terbang dulunya baik-baik saja."
2759,"Dahulu kala, terbang dulunya baik-baik saja.",sekarang seperti naik bus.
2760,sekarang seperti naik bus.,Anda terjebak dengan orang-orang di sekitar Anda.
2761,Anda terjebak dengan orang-orang di sekitar Anda.,"separuhnya batuk, separuhnya lagi bersin."
2762,"separuhnya batuk, separuhnya lagi bersin.",Anda tidak memiliki ruang siku atau ruang lutut.
2763,Anda tidak memiliki ruang siku atau ruang lutut.,orang selalu bangun untuk menggunakan kamar mandi.
2764,orang selalu bangun untuk menggunakan kamar mandi.,anak-anak menangis atau memanjat Anda.
2765,anak-anak menangis atau memanjat Anda.,itu adalah kebun binatang terbang!
2766,itu adalah kebun binatang terbang!,saya berharap saya mampu membeli kursi kelas satu.
2767,saya berharap saya mampu membeli kursi kelas satu.,bukankah semua orang?
2768,seseorang mendayung melintasi samudra Atlantik.,bagus untuk dia.
2769,bagus untuk dia.,kenapa dia melakukan itu?
2770,kenapa dia melakukan itu?,apakah dia membuat rekor baru?
2771,apakah dia membuat rekor baru?,"ya, menurutku dia melakukannya."
2772,"ya, menurutku dia melakukannya.","yah, kurasa itu sebabnya dia melakukannya."
2773,"yah, kurasa itu sebabnya dia melakukannya.",apa gunanya?
2774,apa gunanya?,sekarang dia memiliki rekor dunia!
2775,sekarang dia memiliki rekor dunia!,"tapi ada yang akan merusaknya, lalu apa gunanya?"
2776,"tapi ada yang akan merusaknya, lalu apa gunanya?","yah, dia bisa menikmatinya selagi masih ada."
2777,"yah, dia bisa menikmatinya selagi masih ada.",menurutku dia bahkan tidak dibayar untuk itu.
2778,menurutku dia bahkan tidak dibayar untuk itu.,beberapa orang melakukannya hanya untuk melakukannya.
2779,aku ingin naik kapal pesiar.,itu terdengar menyenangkan. ke mana kamu mau pergi?
2780,itu terdengar menyenangkan. ke mana kamu mau pergi?,aku ingin berlayar ke Hawaii.
2781,aku ingin berlayar ke Hawaii.,"itu seharusnya menjadi perjalanan yang menyenangkan. banyak kesenangan, dan banyak makanan."
2782,"itu seharusnya menjadi perjalanan yang menyenangkan. banyak kesenangan, dan banyak makanan.",saya tidak tahu berapa biayanya.
2783,saya tidak tahu berapa biayanya.,menurutku itu tergantung musim dan kabinmu.
2784,menurutku itu tergantung musim dan kabinmu.,tentu saja aku ingin pergi saat cuaca bagus.
2785,tentu saja aku ingin pergi saat cuaca bagus.,"ya, Anda tidak ingin bepergian saat badai musim dingin."
2786,"ya, Anda tidak ingin bepergian saat badai musim dingin.",dan aku ingin mendapatkan kabin besar dengan pemandangan.
2787,dan aku ingin mendapatkan kabin besar dengan pemandangan.,apakah kamu akan bepergian sendirian?
2788,apakah kamu akan bepergian sendirian?,"tidak, aku dan adikku akan bepergian bersama."
2789,"tidak, aku dan adikku akan bepergian bersama.","baiklah, Anda harus online dan mencoba mencari penawaran yang bagus."
2790,aku benci terbang.,karena semua keamanan?
2791,karena semua keamanan?,"tidak, karena telingaku sakit."
2792,"tidak, karena itu menyakiti telingaku.",Apa maksudmu?
2793,Apa maksudmu?,"setiap kali kami mendarat atau lepas landas, telinga saya sakit sekali."
2794,"setiap kali kami mendarat atau lepas landas, telinga saya sakit sekali.","itu hanya perubahan ketinggian saja, menurutku."
2795,"itu hanya perubahan ketinggian saja, menurutku.","apapun itu, itu menyakitkan."
2796,"apapun itu, itu menyakitkan.",tidak bisakah kamu minum obat atau sesuatu untuk itu?
2797,tidak bisakah kamu minum obat atau sesuatu untuk itu?,"saya sudah mencoba segalanya, tetapi tidak ada yang berhasil."
2798,"saya sudah mencoba segalanya, tetapi tidak ada yang berhasil.",sudahkah kamu mencoba penyumbat telinga?
2799,sudahkah kamu mencoba penyumbat telinga?,mereka juga tidak berfungsi.
2800,mereka juga tidak berfungsi.,untunglah kamu bukan seorang pilot.
2801,liburan musim semi dimulai besok.,apakah kamu akan pergi kemana saja?
2802,apakah kamu akan pergi kemana saja?,saya sedang berpikir untuk berkendara ke arizona.
2803,saya sedang berpikir untuk berkendara ke arizona.,ke grand canyon?
2804,ke grand canyon?,Ya. saya belum pernah kesana.
2805,Ya. saya belum pernah kesana.,aku ada di sana ketika aku masih kecil.
2806,aku ada di sana ketika aku masih kecil.,bagaimana kamu menyukainya?
2807,bagaimana kamu menyukainya?,saya menyukainya. saya masih ingat betapa menakjubkannya itu.
2808,saya menyukainya. saya masih ingat betapa menakjubkannya itu.,aku yakin aku juga akan menyukainya.
2809,aku yakin aku juga akan menyukainya.,Anda harus mencoba mengendarai bagal di jalan setapak menuju ke bawah.
2810,Anda harus mencoba mengendarai bagal di jalan setapak menuju ke bawah.,mustahil! aku tidak ingin jatuh ke dalam kematianku.
2811,mustahil! aku tidak ingin jatuh ke dalam kematianku.,Jangan khawatir. hanya satu orang yang pernah jatuh dari bagal.
2812,hotel itu sangat buruk.,yang terburuk di seluruh dunia.
2813,yang terburuk di seluruh dunia.,dindingnya sangat tipis.
2814,dindingnya sangat tipis.,sepanjang hari kami mendengar TV atau telepon.
2815,sepanjang hari kami mendengar TV atau telepon.,sepanjang malam kami mendengar orang mendengkur.
2816,sepanjang malam kami mendengar orang mendengkur.,housekeeping tidak memberi kami handuk segar.
2817,housekeeping tidak memberi kami handuk segar.,layanan kamar membawakan kami makan malam dingin.
2818,layanan kamar membawakan kami makan malam dingin.,kamar bebas rokok kami berbau asap rokok.
2819,kamar bebas rokok kami berbau asap rokok.,kamar kami berada tepat di sebelah lift dan mesin es.
2820,kamar kami berada tepat di sebelah lift dan mesin es.,mereka menambahkan biaya palsu ke tagihan kami.
2821,mereka menambahkan biaya palsu ke tagihan kami.,bagaimana kita bisa sampai di hotel mengerikan itu?
2822,bagaimana kita bisa sampai di hotel mengerikan itu?,agen perjalanan memberi kami diskon 50 persen!
2823,aku harus menutup telepon. saya sangat mengantuk.,ini bahkan belum jam 10.
2824,ini bahkan belum jam 10.,aku tertidur di telepon.
2825,aku tertidur di telepon.,kamu bangun pagi-pagi sekali.
2826,kamu bangun pagi-pagi sekali.,aku harus mengantar temanku ke bandara.
2827,aku harus mengantar temanku ke bandara.,kenapa kamu tidak tidur siang ketika sampai di rumah?
2828,kenapa kamu tidak tidur siang ketika sampai di rumah?,aku baru pulang 30 menit yang lalu.
2829,aku baru pulang 30 menit yang lalu.,mengapa demikian?
2830,mengapa demikian?,ada ancaman bom di bandara.
2831,ada ancaman bom di bandara.,hanya ancaman?
2832,hanya ancaman?,"ya, tapi saya terjebak di sana sepanjang hari saat mereka mencari bomnya."
2833,"ya, tapi saya terjebak di sana sepanjang hari saat mereka mencari bomnya.",suatu hari nanti bom itu akan menjadi nyata.
2834,"ayah saya pergi ke washington, d.c.",kenapa dia melakukan itu?
2835,kenapa dia melakukan itu?,"dia diundang, bersama sekitar 90 veteran lainnya."
2836,"dia diundang, bersama sekitar 90 veteran lainnya.",siapa yang mengundang mereka?
2837,siapa yang mengundang mereka?,beberapa organisasi swasta.
2838,beberapa organisasi swasta.,mengapa mereka mengundangnya?
2839,mengapa mereka mengundangnya?,untuk berterima kasih padanya dan semua prajurit lainnya yang bertugas di perang dunia ii.
2840,untuk berterima kasih padanya dan semua prajurit lainnya yang bertugas di perang dunia ii.,itu sangat bagus.
2841,itu sangat bagus.,ayah saya melihat monumen perang dunia ii baru yang indah.
